Brand,Model,Type,Gender,Size,Color,Material,Price,Initial Price,Discount (%),Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Marketing Appeal Score,Sale Quantity
Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Suede/Canvas,64.23165703468656,85.28442137332071,24.685357536142032,1,3,1,1,1,0,0,1,0,0,0,10,122
Fila,Original Fitness,Casual,Men,US 10,White/Navy/Red,Leather,107.48191929311594,134.76267639689618,20.243555436250276,2,3,1,1,1,0,0,1,0,0,1,9,140
Fila,Spaghetti,Fashion,Men,US 8,White/Navy,Leather/Synthetic,192.0485597246623,241.26330936234973,20.39877085652196,3,1,0,1,1,1,0,0,0,0,1,1,225
New Balance,1080v10,Running,Men,US 10.5,Grey,Mesh,89.84305497881061,102.5431568461635,12.385128620923709,1,2,0,1,1,0,0,1,0,0,0,5,175
Converse,Chuck 70 High,Casual,Men,US 8.5,Cream,Canvas,231.52220051131098,262.2702402865348,11.72380051264338,4,2,0,0,0,1,0,1,1,1,1,8,253
New Balance,327,Lifestyle,Women,US 6.5,Grey,Suede/Mesh,218.72993281036474,235.90452009085317,7.280312930788282,4,1,1,1,1,0,0,0,1,0,1,1,963
Fila,D-Formation,Casual,Women,US 8.5,White,Leather,74.11168328073805,122.93874509712782,39.716577371774804,1,1,1,1,0,1,0,0,1,1,0,7,295
New Balance,327,Casual,Men,US 9.5,Green,Suede/Mesh,241.20942872238663,255.7415689114852,5.682353577070718,4,4,0,0,1,1,1,1,1,1,0,2,660
Fila,Mindblower,Fashion,Men,US 9.5,White/Blue,Leather/Synthetic,230.01663660329615,256.1606766977598,10.206109864907418,4,4,0,0,0,0,0,1,1,1,1,7,320
Nike,Air Max 97,Running,Men,US 11,Silver,Synthetic/Leather,52.42062335522149,91.93602274860572,42.98141056355792,1,3,1,1,0,0,0,0,1,0,0,7,93
Nike,Air Max 90,Running,Men,US 8.5,White,Leather,55.08955198115017,93.27172910224797,40.93649542965057,1,3,0,0,0,1,1,0,1,0,1,9,783
Fila,Memory Fresh 2,Walking,Men,US 10,White,Synthetic,58.40493503428106,85.31408051003835,31.54127116518717,1,1,1,0,1,1,1,0,1,1,0,6,990
Nike,Air Zoom Pegasus 38,Running,Men,US 9.5,Blue,Mesh,162.41455888051422,186.27552559862295,12.809501753613691,3,3,0,0,0,0,0,1,1,0,1,4,658
Converse,Pro Leather,Casual,Men,US 9.5,White/Green,Leather,146.4082116224165,172.31270676453133,15.03342128883961,2,2,1,0,1,1,0,1,0,1,1,7,597
Fila,F-13,Fashion,Men,US 10,White,Leather,84.97628743519188,105.54733796153745,19.48988096113033,1,1,0,0,1,1,0,0,1,0,1,7,217
Puma,Future Rider Play On,Lifestyle,Women,US 9,Yellow,Synthetic/Textile,242.80576943310274,261.01908698137476,6.977772299683066,4,1,0,0,0,1,1,0,0,0,0,4,484
Fila,Original Fitness,Fashion,Women,US 7.5,White/Navy,Leather/Synthetic,241.0121022969978,270.3336901993534,10.846442365630727,4,2,1,1,0,1,0,0,0,1,0,2,79
Adidas,NMD_R1,Running,Women,US 8.5,Black/Pink,Primeknit,244.4010659263074,265.1424161690117,7.822720537284003,4,4,1,1,1,1,1,0,0,0,1,9,843
Skechers,Arch Fit Refine,Walking,Women,US 6.5,Navy,Mesh,171.4179157437508,192.9163823396408,11.143929994519938,3,4,1,0,1,1,0,1,0,1,0,8,646
Reebok,Nano 9,Training,Men,US 10.5,Red,Mesh,62.440645232940554,98.71088777192284,36.7439128121173,1,2,0,0,1,0,0,0,1,1,0,5,406
Nike,React Infinity Run Flyknit 2,Running,Women,US 6.5,Pink,Flyknit,106.49921319457044,155.24070646256612,31.397366308526127,2,2,1,1,1,0,1,0,0,0,1,5,540
Vans,Sk8-Hi,Skate,Women,US 8,Yellow,Canvas/Suede,114.2991402495764,148.4446282719514,23.0021715301279,2,3,1,0,1,0,0,1,0,0,0,1,682
Nike,React Infinity Run Flyknit 2,Running,Women,US 8,Blue,Flyknit,146.6814871946293,159.76066587722795,8.186732704688184,2,1,0,1,1,0,0,0,1,0,0,9,848
Fila,Mindblower,Casual,Men,US 9.5,White/Blue,Leather/Synthetic,201.350301137727,214.3736456918897,6.07506790871141,3,3,1,0,0,1,0,1,0,1,1,10,297
Vans,Sk8-Hi,Skate,Women,US 7,Black/White,Suede/Canvas,109.87911767433624,157.93604650815888,30.428094090186086,2,2,1,1,1,0,1,1,1,0,1,8,745
New Balance,574,Casual,Women,US 7.5,Burgundy,Suede/Leather,142.81903189070078,164.71066350299412,13.290961949100149,2,3,1,1,1,1,0,1,1,0,0,5,302
Adidas,Ultraboost 20,Running,Men,US 9.5,White,Primeknit,222.70950450290903,236.39218394620804,5.788126838581328,4,2,0,0,0,1,0,0,1,0,0,10,834
Puma,RS-X,Lifestyle,Men,US 9,Black,Leather,153.59210554251578,187.55388902853105,18.10774687847125,3,3,0,0,0,0,1,1,1,0,0,6,770
Skechers,Max Cushioning Premier,Running,Women,US 6.5,Black/White,Mesh,150.95911966090563,185.90507079251626,18.79773961120882,2,3,0,0,0,0,1,0,0,1,1,10,915
Skechers,Go Walk 5,Walking,Women,US 6.5,Black,Mesh,137.39917713312417,173.3393699378717,20.734004523974686,2,4,1,0,1,1,0,1,1,0,0,10,431
New Balance,327,Lifestyle,Men,US 10,Beige,Suede/Mesh,72.14411866526314,92.84019977956478,22.29215486765583,1,2,0,1,0,0,0,1,0,1,0,8,585
Reebok,Classic Nylon,Casual,Men,US 10,Grey,Nylon,149.25175057647232,159.85617794505131,6.633730084691593,2,3,1,0,0,0,1,1,0,0,0,6,683
Adidas,Yeezy Boost 350,Lifestyle,Men,US 10,Grey,Primeknit,204.7982756305525,253.39889040873138,19.17948997321428,4,1,1,1,1,1,0,0,1,0,0,10,786
Reebok,Classic Nylon,Casual,Men,US 10,Grey,Nylon,149.25175057647232,169.28747240411641,11.83532457724669,2,3,1,0,1,1,0,0,0,0,0,4,949
Asics,Gel-Kayano 28,Running,Women,US 7,White/Pink,Mesh,95.20579956319995,132.24685108530184,28.00902344223658,1,3,0,1,1,1,1,1,1,1,0,3,954
Skechers,GOrun 7+,Running,Women,US 8,Black/Pink,Mesh,131.88241436340365,170.14760915855203,22.48941080299927,2,1,0,0,1,1,0,0,0,1,1,7,947
Reebok,Nano X1 Adventure,Training,Men,US 10.5,Grey,Flexweave,121.56281682270978,155.9631135058892,22.056687578169218,2,2,1,0,0,1,0,1,0,0,1,2,468
Nike,Air Force 1 '07,Basketball,Men,US 11,White,Leather,164.35447040966443,186.87076617821037,12.04912690681278,3,4,1,1,1,1,1,1,0,1,1,7,172
Vans,SK8-Hi,Skate,Men,US 9,Black/White,Suede/Canvas,240.18571890050967,261.0295690510723,7.985244823541196,4,4,0,0,0,0,0,1,0,1,0,1,343
Skechers,Summits,Training,Men,US 11,Black,Mesh,53.823218885952805,87.72995019406093,38.64898046004307,1,4,0,0,1,0,0,1,1,0,0,10,734
Fila,Spaghetti,Fashion,Men,US 8,White/Navy,Leather/Synthetic,192.0485597246623,236.69238506912995,18.861538503416014,3,1,0,0,0,0,0,0,1,0,1,5,192
Nike,Air Max 2090,Running,Women,US 7.5,Green,Mesh,165.45580584662625,213.3251550035621,22.43961766071916,3,3,1,0,1,1,1,1,0,0,1,9,987
Converse,Jack Purcell,Casual,Men,US 8.5,Navy,Canvas,146.1780293206018,160.41426149675212,8.874667403832138,2,2,0,0,1,1,0,0,0,0,1,1,948
Adidas,Yeezy Boost 350 V2,Lifestyle,Men,US 11,Cream White,Primeknit,92.39881093973162,108.59195544364042,14.911919062285506,1,3,0,1,1,0,1,1,0,0,1,8,560
Nike,Air Force 1,Casual,Men,US 10,White,Leather,142.78649733766724,190.57594768899042,25.076328325184544,2,4,0,0,0,0,1,1,0,0,1,9,976
Puma,Clyde All-Pro,Basketball,Women,US 7.5,White,Leather,88.31858914696515,127.77999828035686,30.882305262527122,1,3,1,1,0,0,0,1,1,1,0,9,997
Converse,Jack Purcell,Casual,Men,US 9,Navy/White,Canvas,188.8301147019662,234.14986769515713,19.355019688583944,3,1,0,0,0,1,1,1,0,0,0,8,730
Nike,Air Max 2090,Running,Men,US 12,Black,Mesh/Synthetic,105.36286155826116,123.46816692367489,14.663946032831282,2,1,1,0,1,0,0,1,0,0,0,4,106
Reebok,Nano X,Crossfit,Men,US 9,Grey,Mesh,177.38046349094864,210.88389833532472,15.887146960410673,3,2,1,1,0,0,0,0,0,0,0,7,91
New Balance,FuelCell Rebel v2,Running,Men,US 8.5,Green,Mesh,99.36477384038045,137.4103576170794,27.687566233340533,1,2,1,1,1,0,0,0,1,0,0,1,870
Nike,React Infinity Run Flyknit,Running,Women,US 8,Black,Flyknit,50.31302103829458,87.51749645617349,42.510900019300664,1,4,0,1,1,1,1,1,0,1,1,7,680
Converse,One Star,Skate,Men,US 10,Black,Suede,102.03155819241023,128.35762582707815,20.50993656593032,2,2,0,1,1,0,0,0,1,1,1,6,170
Skechers,Equalizer 4.0,Training,Women,US 8.5,Black,Knit,215.8573598633511,226.47315553100344,4.687441053559692,4,3,0,1,0,0,0,0,1,1,0,5,873
Converse,Chuck 70,Casual,Men,US 9,Black,Canvas,240.28596207236646,273.603004344537,12.1771478175056,4,1,1,0,1,1,0,1,0,0,1,1,812
Nike,React Infinity Run Flyknit 2,Running,Women,US 9,Purple,Flyknit,63.28876887115498,83.41283043833933,24.125858649600094,1,1,0,1,0,1,1,1,0,0,0,8,392
Nike,Air Force 1 '07,Basketball,Men,US 11,White,Leather,245.79622303496177,273.8063928806774,10.22991813705468,4,1,1,1,1,1,1,1,0,1,0,10,381
Nike,Air Force 1,Casual,Women,US 8.5,White,Leather,110.78850245100546,159.09174305435815,30.36187779201623,2,2,0,0,1,1,0,1,1,1,1,1,505
Puma,Calibrate Runner,Running,Women,US 6.5,Blue,Mesh,232.65738951524736,258.61880222094476,10.03848617453494,4,1,0,0,1,1,0,0,1,0,0,1,486
Nike,React Infinity Run Flyknit 2,Running,Men,US 9.5,Blue,Flyknit,189.1798236337605,232.77188790033756,18.72737496773718,3,1,0,1,0,0,0,0,0,0,0,3,390
Nike,React Infinity Run,Running,Women,US 9.5,Grey/Pink,Mesh,139.28390328031645,156.8255275102865,11.185439327675432,2,1,0,1,0,0,0,0,1,0,0,8,390
Nike,Air Zoom Pegasus 38,Running,Men,US 9.5,Blue,Mesh,162.41455888051422,199.31297880151538,18.51280340240473,3,4,1,1,1,1,1,0,0,0,1,8,465
Skechers,Max Cushioning Elite,Running,Women,US 7,Navy,Mesh/Synthetic,129.02754865286371,178.10782683042146,27.556497123670848,2,4,1,0,0,1,1,1,0,0,1,7,898
Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,80.82900863569742,94.90473267061489,14.831424776011936,1,2,1,1,0,1,1,1,0,1,0,5,231
Converse,Chuck 70,Casual,Men,US 9,Black,Canvas,188.5064863074216,198.83928399650927,5.196557481704202,3,1,1,0,1,1,1,1,0,0,0,8,726
Reebok,Classic Nylon,Casual,Women,US 7.5,Pink,Nylon,89.38514089068568,116.72845259599025,23.424718735836173,1,2,0,0,1,0,1,1,0,1,1,2,313
New Balance,FuelCell Propel V3,Running,Women,US 8.5,Black,Mesh,234.19890421931518,247.90392354136986,5.528359182975015,4,1,1,0,0,0,1,0,0,0,1,8,259
Puma,Future Rider Play,Lifestyle,Men,US 9,Black/Red,Synthetic,63.53367238000032,103.46904636704957,38.596445400087255,1,1,1,0,1,1,1,0,1,1,1,2,572
Reebok,Zig Kinetica,Running,Men,US 11.5,White/Black,Mesh,106.304239682986,152.88618623692835,30.46838154609608,2,1,1,1,1,1,0,1,1,1,1,10,231
Nike,Blazer Low,Lifestyle,Women,US 7.5,White,Leather,90.75329182553781,118.11413073388817,23.16474645188262,1,2,0,0,0,1,0,0,1,1,0,5,493
Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Suede/Canvas,192.88483281424845,213.2332985004661,9.5428180445153,3,2,1,0,0,1,0,0,0,0,0,4,300
New Balance,Fresh Foam More,Running,Men,US 9.5,Black/White,Mesh,145.28739726875833,172.66353002902272,15.85519116611527,2,1,1,1,1,0,0,1,0,0,0,1,187
Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Suede/Canvas,64.23165703468656,103.1695697486866,37.74166433847684,1,3,0,0,0,1,0,0,0,0,1,5,267
Reebok,Nano X,Crossfit,Men,US 9,Grey,Mesh,177.38046349094864,187.74262995416348,5.5193466000474745,3,2,0,1,0,1,0,1,1,1,1,7,800
Adidas,Ultra Boost 21,Running,Men,US 9.5,Black,Primeknit,77.84907422351904,111.42723380290693,30.134607522233846,1,4,1,0,1,0,1,0,0,1,0,1,503
Puma,Suede Classic,Casual,Men,US 11,Black,Suede,64.3423777695302,98.87404516502536,34.92490606393236,1,2,1,1,1,1,0,0,1,0,1,2,932
Adidas,NMD_R1,Lifestyle,Women,US 8,Pink,Primeknit,170.69861920867572,206.20614908451313,17.219433093280223,3,1,0,0,1,0,1,1,0,1,0,9,898
Converse,Chuck 70,Casual,Men,US 9,White,Canvas,173.0596050139604,192.7404882131955,10.211078835426388,3,3,1,0,1,1,0,1,1,1,1,5,136
Fila,Original Fitness,Casual,Women,US 9,White,Leather,208.6285747993479,247.19068373447294,15.600146555906477,4,1,0,1,0,1,1,1,0,1,0,7,859
New Balance,FuelCell Propel V3,Running,Women,US 8.5,Pink/White,Mesh,107.77698778183313,121.43264723510418,11.245459737719882,2,4,1,0,0,0,1,0,0,1,0,2,342
Reebok,Aztrek 96,Casual,Women,US 9,Purple,Synthetic,167.74630442626398,185.71711788493602,9.676444295138234,3,2,1,0,1,1,0,1,1,0,0,7,141
Asics,Gel-Quantum 360 6,Running,Men,US 9,Black/Grey,Mesh,50.27072514309363,95.3695270092729,47.28848226519385,1,2,1,1,1,0,0,0,1,1,0,7,257
New Balance,FuelCell Propel v3,Running,Men,US 9,Red,Mesh,55.5073439738931,95.05627000295576,41.60580467530747,1,1,1,0,1,0,0,1,1,0,1,7,253
Puma,Clyde All-Pro,Basketball,Men,US 10.5,Black,Leather,95.07625360135316,105.62607576180697,9.987895587680722,1,1,1,0,1,0,0,0,0,1,0,5,235
Nike,ZoomX Vaporfly Next%,Running,Men,US 10,Black/White,Mesh,106.20089978174272,126.13595019653474,15.804416095277238,2,4,0,1,0,1,0,1,1,1,0,9,134
Skechers,Equalizer 4.0,Training,Women,US 8.5,Black,Mesh,221.14745178115726,239.72371110088383,7.749028760825856,4,3,0,1,0,1,1,1,1,0,0,2,876
Fila,Trailblazer,Fashion,Men,US 11,Black,Leather,242.5620714148052,263.3943245362841,7.909150342610799,4,4,1,1,1,0,0,0,0,1,0,4,713
Reebok,Classic Nylon,Casual,Men,US 10,Grey,Nylon,149.25175057647232,169.15414138766778,11.76583124003043,2,3,1,1,1,1,1,0,0,0,1,2,205
Nike,React Infinity Run Flyknit 2,Running,Women,US 8.5,Pink,Flyknit,52.43135429547736,64.93240612519119,19.252408120548484,1,2,1,1,0,1,1,1,1,0,0,8,342
New Balance,FuelCell Rebel v2,Running,Women,US 7,White/Pink,Mesh,122.37061864102773,150.72823930490054,18.813741071113828,2,3,0,0,0,1,1,0,0,0,0,1,582
New Balance,Fresh Foam Hierro v6,Trail Running,Men,US 11.5,Green,Synthetic/Mesh,206.07310060137632,245.38243959282295,16.019621883568703,4,3,0,1,0,0,0,1,1,0,1,9,210
Nike,Air Force 1,Casual,Women,US 8,White,Leather,69.07985546264213,103.34912445133958,33.15874147035724,1,2,0,0,0,0,0,0,1,0,0,5,435
Asics,Gel-Kahana 8,Running,Men,US 8,Grey,Mesh,144.4986710013027,181.4135377452259,20.348463076535012,2,2,0,1,1,1,0,0,1,0,0,3,534
Nike,Air Max 90,Running,Men,US 8,Black/White,Leather/Mesh,57.891906578179864,71.13787371962943,18.620133620601226,1,2,0,0,0,0,0,1,0,0,0,4,552
New Balance,Fresh Foam X Beacon v3,Running,Women,US 7,White/Grey,Mesh,194.42864709118118,242.48827549825268,19.81936170246623,3,4,0,0,0,1,0,1,1,1,0,1,900
Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,242.55367005064122,286.0933434043622,15.218695001995322,4,2,0,1,0,1,0,0,1,0,1,3,205
Fila,D-Formation,Fashion,Men,US 11,Black,Leather,138.67600287583753,180.87961561566402,23.33243168179958,2,1,0,0,1,1,1,0,0,1,1,8,192
New Balance,FuelCell Rebel v2,Running,Women,US 9.5,Blue,Mesh,124.34785898126606,167.26721118293676,25.659154533718315,2,2,1,0,1,0,0,0,1,1,1,2,818
Adidas,Adizero Boston 9,Running,Women,US 6.5,Black,Mesh,173.41330322356026,220.72172354887073,21.43351345969159,3,2,0,1,0,0,1,0,1,1,1,2,668
Fila,Strada,Fashion,Men,US 11,White/Red/Blue,Synthetic,248.26558031284412,280.035738957392,11.345037159482631,4,2,0,1,0,1,1,1,1,0,1,9,333
Converse,Chuck 70,Casual,Women,US 9,Red,Canvas,144.7619656795893,162.77324639429435,11.065258642735028,2,3,0,1,1,0,0,1,0,0,1,5,611
Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,79.46060885579406,114.13195316989571,30.378297532935605,1,4,0,1,1,1,0,0,1,1,0,5,84
Reebok,Classic Nylon,Casual,Women,US 8,Black/White,Nylon/Suede,52.02623680554868,91.74149655226624,43.29039882632751,1,2,1,0,0,0,0,1,0,0,0,1,273
Reebok,Classic Nylon,Casual,Men,US 9.5,Black,Nylon,116.43820662312092,155.95490235728192,25.3385402682828,2,4,0,0,1,0,0,0,0,1,0,6,717
Reebok,Nano 9,Crossfit,Men,US 10.5,Black,Mesh,60.39131551085369,91.2492764775289,33.817211662247324,1,1,1,0,0,0,0,0,1,1,0,8,442
Asics,Gel-Quantum 90,Running,Men,US 11,Grey,Mesh,242.02712088108944,254.76546965443256,5.000029552914527,4,1,1,0,1,1,0,0,1,1,1,6,457
Puma,Clyde All-Pro,Basketball,Women,US 7,Black/White,Leather,158.89939182077302,183.74390935797814,13.521274051485383,3,2,1,0,0,1,1,1,0,0,0,7,752
Converse,Chuck 70,Casual,Women,US 8.5,Cream,Canvas,109.44756154172345,156.27822588025774,29.96621191132315,2,1,0,0,0,1,1,0,1,1,0,4,437
Nike,Air Max 95,Running,Men,US 9,Grey,Leather/Synthetic,136.56320044189385,169.9411568321909,19.640890419062078,2,4,0,1,1,0,1,1,1,0,1,2,745
Puma,Calibrate Runner,Running,Men,US 11,Black,Mesh,126.08010979408193,157.61338752431047,20.006725460021475,2,3,0,0,0,1,1,1,0,1,0,1,798
Converse,Run Star Hike,Casual,Women,US 7.5,Pink,Canvas,83.37204033975055,104.1261809150383,19.93172167931721,1,2,1,0,1,1,1,0,1,0,0,6,346
Asics,Gel-Quantum 360 6,Running,Women,US 8,Pink,Mesh/Synthetic,90.09490310568056,114.83285990234371,21.54257659149205,1,1,1,0,1,1,1,1,1,1,1,9,372
Nike,Air Force 1,Casual,Men,US 11,White,Leather,83.15490803265516,128.96875159878192,35.52321240470119,1,4,1,1,1,1,0,0,0,0,0,10,865
Puma,Calibrate Runner,Running,Men,US 9.5,Black/Yellow,Mesh,185.2355124150868,221.89403431616023,16.520733427578975,3,4,1,1,0,0,0,0,1,1,0,5,903
Puma,RS-Fast,Lifestyle,Men,US 9.5,Yellow,Leather/Synthetic,196.16419299614597,237.6596740662393,17.460042909310694,3,1,0,1,0,0,0,1,0,0,1,2,537
Asics,Gel-Kayano 27,Running,Men,US 12,Black,Mesh,114.33399793190972,142.50781485461593,19.770015385786852,2,4,0,1,0,1,1,0,0,0,0,1,619
Puma,Clyde All-Pro,Basketball,Men,US 10,Red,Leather,97.75924227630786,132.96913105455417,26.479746463711567,1,4,0,0,1,0,1,1,1,0,0,3,88
Nike,React Infinity Run Flyknit 2,Running,Women,US 6.5,Pink,Flyknit,106.49921319457044,126.43455754429874,15.76732242903098,2,2,1,0,0,0,1,1,0,1,0,4,554
Reebok,Classic Nylon,Casual,Women,US 7,Pink,Nylon,181.32621474157523,219.5446479529147,17.408045956800592,3,4,1,0,0,0,0,1,1,1,0,7,552
Vans,Slip-On,Skate,Men,US 8.5,Black/White,Canvas,108.92387926923863,136.02793261737213,19.925358583794313,2,1,0,1,0,0,0,0,1,1,0,9,802
Fila,D-Formation,Casual,Women,US 8.5,White,Leather,74.11168328073805,101.81350387332787,27.20839529013291,1,2,0,0,0,0,0,1,0,0,1,8,586
New Balance,FuelCell Rebel v2,Running,Men,US 9.5,Blue/White,Mesh,213.81270277233122,249.7855957554065,14.40150817115188,4,1,1,0,1,1,1,0,0,0,0,9,365
Fila,Venom 94,Fashion,Women,US 7.5,White,Leather,116.80999313375384,164.2612179925109,28.887661639596807,2,3,0,0,0,0,1,0,0,1,0,7,545
Reebok,Aztrek,Retro,Women,US 7.5,Black/Gold/Red,Suede/Mesh,181.4706964340257,194.03095029837056,6.473324923178672,3,1,0,1,1,1,1,1,0,1,0,10,166
Asics,Gel-Cumulus 23,Running,Men,US 9,Black,Mesh,79.75919388102312,122.74892337490343,35.022490065008384,1,1,1,1,1,1,0,1,0,0,1,8,391
Reebok,Nano X1,Training,Men,US 9,Black,Knit,225.91637099030584,247.61169540679356,8.761833475129334,4,2,1,1,1,1,1,0,0,1,1,8,931
New Balance,Fresh Foam More v3,Running,Men,US 11,Black/Grey,Mesh/Synthetic,117.04160947417455,144.79838765442966,19.1692591539751,2,4,1,0,1,0,0,1,1,0,1,1,289
Converse,Chuck 70,Casual,Women,US 7.5,Egret,Canvas,62.49151872381429,73.36805187481465,14.824617627245459,1,1,0,0,0,0,0,1,1,0,0,9,736
Fila,D-Formation,Fashion,Men,US 11,White,Leather,50.02693860089706,72.06878171426959,30.584453613718093,1,2,1,0,0,0,0,1,0,0,0,2,494
New Balance,574,Casual,Men,US 10,Grey,Suede/Mesh,112.24349901267871,142.34874871788392,21.14893876929664,2,3,0,0,0,0,0,0,1,1,0,7,901
Skechers,Go Run Mojo,Running,Women,US 7.5,Black/Pink,Mesh,74.87367980010205,87.12072289399961,14.057554491138259,1,2,0,1,1,1,0,1,0,0,0,10,789
Converse,Chuck 70 High,Casual,Women,US 6,Red,Canvas,170.58857529589233,200.23240447121893,14.80471118229395,3,2,1,0,0,1,0,0,0,1,0,10,536
Puma,Calibrate,Running,Men,US 8.5,Grey,Mesh,210.51713591596257,257.6015610702997,18.278004589222085,4,4,0,1,1,1,0,0,1,0,1,5,814
Reebok,Legacy Lifter,Weightlifting,Men,US 9.5,Black/Gold,Leather,124.91057740402427,139.12630612833647,10.217858232503465,2,1,1,0,0,0,1,1,1,1,0,4,460
Skechers,Max Cushioning,Running,Men,US 10,Blue,Mesh,220.7569843409334,261.3346134639536,15.527077942400899,4,3,1,1,0,1,0,1,0,1,0,1,941
Puma,Clyde Hardwood,Basketball,Men,US 8,Red/Black,Leather,202.90555893094353,229.29240106598323,11.507944446639724,4,2,0,0,0,1,1,0,0,0,1,1,672
Fila,Mindblower,Fashion,Men,US 9,White,Leather,166.56136701669794,202.76831559767146,17.856314717736556,3,1,0,0,1,1,0,0,0,0,1,3,802
Nike,Air Force 1,Casual,Men,US 11,White,Leather,83.15490803265516,103.56437195206433,19.707031998278204,1,1,1,1,0,0,0,1,1,0,1,1,785
Asics,Gel-Quantum 180,Running,Women,US 9,Grey,Mesh/Synthetic,100.1933322680596,116.57302276971393,14.051012929476702,1,2,1,1,1,1,0,0,0,0,1,8,347
Reebok,Classic Nylon,Casual,Men,US 10.5,Black,Nylon,141.85303943464277,158.27154400549182,10.373630126638147,2,1,1,0,1,1,1,1,0,1,1,3,101
Asics,Gel-Kayano 27,Running,Women,US 8.5,Black,Mesh,53.6013111200909,66.42098894581669,19.300642807627447,1,2,1,0,1,0,0,0,1,1,0,10,782
Converse,Chuck 70,Casual,Men,US 11,Grey,Canvas,98.07978257870138,115.5056507747511,15.08659366807266,1,2,1,0,0,1,0,1,1,1,0,2,353
New Balance,574,Lifestyle,Women,US 8,Grey,Suede/Textile,246.2287463583644,282.7975217579231,12.93108057391743,4,2,1,1,0,0,1,0,1,1,0,6,337
Converse,Chuck 70 High Top,Casual,Men,US 9.5,Black/White,Canvas,170.31077585996482,215.57840033370513,20.998218932726182,3,3,0,0,1,1,1,1,0,1,0,4,713
Reebok,Nano 9,Cross-training,Men,US 10,Black,Mesh/Synthetic,222.027938669887,264.59296609353345,16.086983736597045,4,2,0,1,1,0,1,1,0,0,0,4,948
