Title,Subtitle,Price,Initial Price,Discount (%),Color,Color Description,Badge,Discount Amount,Discount Flag,Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Color_Black,Color_Blue,Color_Brown,Color_Cream,Color_Green,Color_Grey,Color_Khaki,Color_Multi-Color,Color_Orange,Color_Pink,Color_Purple,Color_Red,Color_White,Color_Yellow,Dominant Color,Title Word Count,Subtitle Word Count,Marketing Appeal Score,Sale Quantity
Nike C1TY,Shoes,100.0,100,0,White,Summit White/Fire Red/Black,,0.0,0,1,3,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Summit White,2,1,7,937
Nike C1TY “Skyline”,Shoes,100.0,100,0,White,Summit White/Pure Platinum/University Blue/White,,0.0,0,1,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Summit White,3,1,8,915
Nike C1TY “Brownstone”,Shoes,100.0,100,0,Brown,Flax/Sesame/Stadium Green/Black,,0.0,0,1,4,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Flax,3,1,9,64
Nike C1TY “Surplus”,Shoes,100.0,100,0,Green,Light Army/Cargo Khaki/University Gold/Black,,0.0,0,1,4,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Light Army,3,1,8,906
Nike Dunk Low Retro SE,Men's Shoes,125.0,125,0,Black,Black/Anthracite/Gum Light Brown/Pale Ivory,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,5,2,9,922
Nike Dunk Low Retro SE,Men's Shoes,125.0,125,0,Brown,Pale Ivory/Light Orewood Brown/Gum Light Brown/White,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Pale Ivory,5,2,9,818
Nike Dunk Low Retro SE,Men's Shoes,125.0,125,0,Brown,Hemp/Terra Blush/Gum Light Brown/Pale Ivory,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Hemp,5,2,8,933
Nike Dunk Low Retro,Men's Shoes,125.0,125,0,Green,Medium Olive/Sail/Ironstone/Jade Horizon,Coming Soon,0.0,0,2,4,0,0,1,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Medium Olive,4,2,2,586
Nike Air Force 1 ’07,Men's Shoes,130.0,130,0,White,Sail/Light Bone/University Red/Jade Horizon,Coming Soon,0.0,0,2,4,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sail,5,2,8,644
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,Brown,Alabaster/Black/White/Pale Ivory,Just In,0.0,0,2,4,1,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Alabaster,4,2,7,151
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,Grey,Vast Grey/Wolf Grey/Pale Ivory/Blue Void,Just In,0.0,0,2,4,1,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Vast Grey,4,2,8,20
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,Black,Black/Black,Best Seller,0.0,0,2,2,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,4,2,10,810
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,White,White/Platinum Tint/Metallic Platinum/Black,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,4,2,7,649
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,Grey,Vast Grey/Black/Sail/Vast Grey,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Vast Grey,4,2,8,845
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,Grey,Wolf Grey/Metallic Silver/Cool Grey/White,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Wolf Grey,4,2,3,452
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,Grey,College Grey/Mink Brown/Light Orewood Brown/Sail,Just In,0.0,0,2,4,1,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,College Grey,4,2,2,97
Nike Zoom Vomero 5 SE,Men's Shoes,160.0,160,0,Grey,Platinum Tint/Cashmere/Iron Grey/Photon Dust,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Platinum Tint,5,2,8,181
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,Yellow,Barely Volt/Midnight Navy/Pure Platinum/White,Just In,0.0,0,2,4,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Barely Volt,4,2,1,114
Nike Zoom Vomero 5,Men's Shoes,170.0,170,0,Grey,Dark Smoke Grey/Light Smoke Grey/Dark Smoke Grey/Smoke Grey,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Dark Smoke Grey,4,2,3,86
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,Purple,Vivid Purple/Metallic Silver/Black,,0.0,0,2,3,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Vivid Purple,4,2,3,42
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,Grey,Metallic Silver/Flat Silver/Light Crimson/Black,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Metallic Silver,4,2,5,817
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,Grey,Cool Grey/Wolf Grey/White,,0.0,0,2,3,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Cool Grey,4,2,2,521
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,Grey,Cave Stone/Multi-Color/Medium Ash/Metallic Silver,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Cave Stone,4,2,1,689
Nike Zoom Vomero 5,Men's Shoes,160.0,160,0,Brown,Light Orewood Brown/Light Orewood Brown,,0.0,0,2,2,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Light Orewood Brown,4,2,5,108
Nike Zoom Vomero 5 SE SP,Men's Shoes,160.0,160,0,Grey,Dark Grey/White/Sail/Black,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Dark Grey,6,2,3,542
Nike Air Pegasus 2005,Men's Shoes,150.0,150,0,Brown,Pale Ivory/Coconut Milk/Black/Metallic Silver,Just In,0.0,0,2,4,1,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Pale Ivory,4,2,2,102
Nike Air Pegasus 2005,Men's Shoes,150.0,150,0,Yellow,Volt/Black/Barely Volt/Volt,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Volt,4,2,1,923
Nike Air Pegasus 2005,Men's Shoes,89.97,150,40,Grey,Light Pumice/Smoke Grey/Metallic Silver/Dark Smoke Grey,,60.03,1,1,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Light Pumice,4,2,10,423
Nike Air Pegasus 2005,Men's Shoes,89.97,150,40,White,White/Black/Metallic Silver,,60.03,1,1,3,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,4,2,7,424
Nike Air Pegasus 2005,Men's Shoes,105.97,150,29,White,White/Total Orange/Hyper Violet/Chrome,,44.03,1,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,4,2,8,321
Nike Air Pegasus 2005,Men's Shoes,89.97,150,40,Grey,Metallic Silver/Black/White/Bicoastal,Member Product,60.03,1,1,4,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Metallic Silver,4,2,7,295
Nike Air Pegasus 2005,Men's Shoes,89.97,150,40,Grey,Metallic Silver/Flat Silver/Black/Metallic Platinum,,60.03,1,1,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Metallic Silver,4,2,1,319
Nike Air Pegasus 2005,Men's Shoes,89.97,150,40,White,White/Black/Metallic Silver/Royal Pulse,,60.03,1,1,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,4,2,6,287
Nike Air Pegasus 2005,Men's Shoes,160.0,160,0,White,Coconut Milk/Light Silver/Light British Tan/Bicoastal,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Coconut Milk,4,2,7,772
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Black,Black/White,Best Seller,0.0,0,2,2,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,4,3,9,826
Nike Free Metcon 6,Men's Workout Shoes,83.97,120,30,Orange,Desert Orange/Black/White,Best Seller,36.03,1,1,3,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Desert Orange,4,3,8,906
Nike Free Metcon 6,Men's Workout Shoes,83.97,120,30,Yellow,Light Lemon Twist/Cement Grey/Black/Light Lemon Twist,Best Seller,36.03,1,1,4,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Light Lemon Twist,4,3,8,920
Nike Free Metcon 6,Men's Workout Shoes,83.97,120,30,Blue,Game Royal/Black/White,Best Seller,36.03,1,1,3,0,1,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Game Royal,4,3,9,936
Nike Free Metcon 6,Men's Workout Shoes,83.97,120,30,Green,Pacific Moss/Cool Grey/Summit White/Black,Best Seller,36.03,1,1,4,0,1,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Pacific Moss,4,3,10,928
Nike Free Metcon 6,Men's Workout Shoes,83.97,120,30,White,White/White/Volt,Best Seller,36.03,1,1,3,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,4,3,10,999
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,White,White/White/Black,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,4,3,10,810
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Purple,Court Purple/Black/White,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Court Purple,4,3,8,972
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Red,Team Crimson/Black/White,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Team Crimson,4,3,8,839
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Green,Pro Green/Black/White,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Pro Green,4,3,8,814
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Blue,College Navy/Black/White,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,College Navy,4,3,9,942
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Blue,University Blue/Black/White,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,University Blue,4,3,9,995
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Brown,Vegas Gold/Black/White,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Vegas Gold,4,3,8,927
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Brown,Desert Khaki/Light Khaki/Black,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Desert Khaki,4,3,9,874
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Orange,Apricot Agate/White/Black,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Apricot Agate,4,3,10,814
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Black,Black/Anthracite,Best Seller,0.0,0,2,2,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,4,3,9,836
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Black,Black/Hyper Orange/Hyper Crimson,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,4,3,10,989
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Black,Black/Gum Light Brown/Coconut Milk,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,4,3,9,837
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,White,White/White/Black,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,4,3,9,899
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Green,Jade Horizon/Light Silver/Vintage Green,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Jade Horizon,4,3,9,931
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Grey,Gunsmoke/Black/White,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Gunsmoke,4,3,9,892
Nike Free Metcon 6,Men's Workout Shoes,120.0,120,0,Blue,Signal Blue/Black/White,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Signal Blue,4,3,10,863
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,Grey,Photon Dust/Ashen Slate/Black/Metallic Silver,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Photon Dust,3,4,10,870
Nike Pegasus 41 PRM,Men's Road Running Shoes,119.97,150,20,Brown,Neutral Olive/Parachute Beige/Light Bone/Cargo Khaki,Member Product,30.03,1,2,4,0,0,0,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Neutral Olive,4,4,1,403
Nike Pegasus 41,Men's Road Running Shoes,111.97,140,20,Black,Black/Fire Red/White,Best Seller,28.03,1,2,3,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,3,4,10,959
Nike Pegasus 41,Men's Road Running Shoes,111.97,140,20,White,Summit White/Bright Crimson/Glacier Blue/Chrome,Best Seller,28.03,1,2,4,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Summit White,3,4,10,953
Nike Pegasus 41,Men's Road Running Shoes,111.97,140,20,White,White/Black/Volt,Best Seller,28.03,1,2,3,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,3,4,10,974
Nike Pegasus 41,Men's Road Running Shoes,111.97,140,20,Black,Black/Sail/Volt/Glacier Blue,,28.03,1,2,4,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,3,4,7,494
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,Black,Black/Anthracite/White,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,3,4,9,902
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,Black,Black/Anthracite/Black,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,3,4,9,835
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,Brown,Light Orewood Brown/Sesame/White,Best Seller,0.0,0,2,3,0,1,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Light Orewood Brown,3,4,10,848
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,White,White/Pure Platinum/Metallic Silver/White,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,3,4,9,878
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,White,White/Pure Platinum/Summit White/Black,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,3,4,9,928
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,Blue,Midnight Navy/Black/Volt/Reflective Silver,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Midnight Navy,3,4,10,825
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,Black,Black/Cool Grey/White/Dusty Cactus,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,3,4,10,882
Nike Pegasus 41 PRM,Men's Road Running Shoes,140.0,140,0,Brown,Medium Ash/Cave Stone/Desert Moss/Blue Void,Sustainable Materials,0.0,0,2,4,0,0,0,0,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Medium Ash,4,4,4,947
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,White,White/Black/Sail/Photo Blue,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,3,4,9,746
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,Grey,Cool Grey/Wolf Grey/Pure Platinum/White,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Cool Grey,3,4,9,834
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,Brown,Pale Ivory/Limelight/Olive Aura/Sequoia,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Pale Ivory,3,4,8,988
Nike Pegasus 41,Men's Road Running Shoes,130.0,130,0,White,Sail/Light Khaki/Safety Orange/Ironstone,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sail,3,4,9,717
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,White,White/Wolf Grey/Black/Picante Red,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,3,4,9,975
Nike Pegasus 41,Men's Road Running Shoes,140.0,140,0,Purple,Hyper Violet/Vivid Grape/Beyond Pink/Black,Best Seller,0.0,0,2,4,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Hyper Violet,3,4,9,829
"Nike Pegasus 41 ""Eliud Kipchoge""",Men's Road Running Shoes,140.0,140,0,White,White/Pale Ivory/Dragon Red/Black,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,5,4,6,784
Nike Pegasus 41 PRM,Men's Road Running Shoes,150.0,150,0,Orange,Hyper Crimson/Safety Orange/Photon Dust/Metallic Silver,,0.0,0,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Hyper Crimson,4,4,4,605
Nike Zoom Pegasus 41,Men's Road-Running Shoes,140.0,140,0,White,White/Metallic Gold/Light Smoke Grey/Black,Sustainable Materials,0.0,0,2,4,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,4,3,9,980
Nike InfinityRN 4,Men's Road Running Shoes,103.97,160,35,White,White/White,Sustainable Materials,56.03,1,2,2,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,3,4,9,445
Nike InfinityRN 4,Men's Road Running Shoes,103.97,160,35,Black,Black/Dark Grey/White,Sustainable Materials,56.03,1,2,3,0,0,0,0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,3,4,7,416
Nike InfinityRN 4,Men's Road Running Shoes,103.97,160,35,White,White/Bright Crimson/Total Orange/Black,,56.03,1,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,3,4,7,356
Nike InfinityRN 4 Blueprint,Men's Road Running Shoes,103.97,160,35,Multi-Color,Multi-Color/Multi-Color,,56.03,1,2,2,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Multi-Color,4,4,8,463
Nike InfinityRN 4 Electric,Men's Road Running Shoes,112.97,175,35,Multi-Color,Multi-Color/Multi-Color,,62.03,1,2,2,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Multi-Color,4,4,1,475
Nike InfinityRN 4,Men's Road Running Shoes,103.97,160,35,Black,Black/Anthracite/Black,Sustainable Materials,56.03,1,2,3,0,0,0,0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Black,3,4,7,182
Nike InfinityRN 4,Men's Road Running Shoes,103.97,160,35,White,White/Light Lemon Twist/Volt/Black,Sustainable Materials,56.03,1,2,4,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,3,4,7,294
Nike InfinityRN 4,Men's Road Running Shoes,103.97,160,35,Green,Oil Green/Jade Horizon/Light Silver,Sustainable Materials,56.03,1,2,3,0,0,0,0,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Oil Green,3,4,6,391
Nike InfinityRN 4,Men's Road Running Shoes,103.97,160,35,White,Sail/Platinum Tint/White/Black,Sustainable Materials,56.03,1,2,4,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sail,3,4,7,359
Nike InfinityRN 4,Men's Road Running Shoes,103.97,160,35,Grey,Cool Grey/Team Maroon/White,Sustainable Materials,56.03,1,2,3,0,0,0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Cool Grey,3,4,5,178
Nike InfinityRN 4,Men's Road Running Shoes,103.97,160,35,Yellow,Volt/Black/Barely Volt,Sustainable Materials,56.03,1,2,3,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Volt,3,4,9,203
Nike InfinityRN 4,Men's Road Running Shoes,109.97,170,35,Brown,Neutral Olive/Flax/Parachute Beige/Cargo Khaki,Member Product,60.03,1,2,4,0,0,0,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Neutral Olive,3,4,10,323
Nike InfinityRN 4,Men's Road Running Shoes,103.97,160,35,Grey,Anthracite/Black/Baltic Blue,Sustainable Materials,56.03,1,2,3,0,0,0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Anthracite,3,4,3,270
Nike InfinityRN 4,Men's Road Running Shoes,103.97,160,35,Grey,Vast Grey/Hyper Violet/Bright Crimson,Sustainable Materials,56.03,1,2,3,0,0,0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Vast Grey,3,4,4,478
Nike InfinityRN 4,Men's Road Running Shoes,103.97,160,35,White,White/Platinum Tint/Light Crimson/Velvet Brown,Sustainable Materials,56.03,1,2,4,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,White,3,4,6,276
Nike InfinityRN 4 PRM,Men's Road Running Shoes,109.97,170,35,Orange,Hyper Crimson/Light Silver/Photon Dust/Metallic Silver,,60.03,1,2,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Hyper Crimson,4,4,7,362
